"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7189","Login Test with CSV Data: Valid login @datadriven","chromium","2026-06-16","failed","2026-06-16","","LoginDataDriven.spec.ts","",""
"","4264","User logout test @master @regression","chromium","2026-06-16","passed","2026-06-16","","Logout.spec.ts","",""
"","5000","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-06-16","passed","2026-06-16","","LoginDataDriven.spec.ts","",""
"","6027","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-06-16","passed","2026-06-16","","LoginDataDriven.spec.ts","",""
"","14151","Login Test with JSON Data: Valid login @datadriven","chromium","2026-06-16","passed","2026-06-16","","LoginDataDriven.spec.ts","",""
"","31964","execute end-to-end test flow @end-to-end","chromium","2026-06-16","broken","2026-06-16","","EndToEndTest.spec.ts","",""
"","4035","Product search test @master @regression","chromium","2026-06-16","passed","2026-06-16","","SearchProduct.spec.ts","",""
"","5976","Add product to cart test @master @regression","chromium","2026-06-16","passed","2026-06-16","","AddToCart.spec.ts","",""
"","16690","User registration test @master @sanity @regression","chromium","2026-06-16","passed","2026-06-16","","AccountRegistration.spec.ts","",""
"","31357","execute end-to-end test flow @endtoend","chromium","2026-06-16","broken","2026-06-16","","EndToEndTest.spec.ts","",""
"","5709","User login test @master @sanity @regression","chromium","2026-06-16","passed","2026-06-16","","Login.spec.ts","",""
